group,Net_type,Condition,node_id,true_answer,response_1,response_2,response_3,initial_confidence,final_confidence,neighbor_confidence,neighbors_1,neighbors_2
20,Network,Low,148761,246,54,75,58,Somewhat confident,Somewhat confident,Not too confident,141.6666667,139
20,Network,Low,148820,246,113,113,121,Somewhat confident,Somewhat confident,Somewhat confident,111,131
20,Network,Low,149043,246,120,150,160,Not too confident,Not too confident,Not too confident,150,168.3333333
20,Network,Low,148614,246,120,200,150,Somewhat confident,Somewhat confident,Somewhat confident,201.5,161.5
20,Network,Low,149171,246,144,144,144,Not too confident,Not too confident,Not too confident,153.75,173.25
20,Network,Low,148878,246,148,151,156,Not too confident,Somewhat confident,Not too confident,163,149.6666667
20,Network,Low,149942,246,250,200,175,Not too confident,Somewhat confident,Somewhat confident,129.5,144.25
20,Network,Low,149100,246,,,,,Very confident,Not too confident,149.75,152.25
20,Network,Low,149882,246,200,140,150,Not too confident,Somewhat confident,Somewhat confident,118,151.6666667
20,Network,Low,150123,246,154,154,154,Somewhat confident,Somewhat confident,Not too confident,137,132
20,Network,Low,148613,246,133,142,141,Somewhat confident,Somewhat confident,Somewhat confident,148.75,139
20,Network,Low,150141,246,125,120,125,Somewhat confident,Somewhat confident,Not too confident,108.75,122.25
20,Network,Low,148823,246,150,150,150,Somewhat confident,Very confident,Somewhat confident,148,149.25
20,Network,Low,149093,246,117,111,111,Not at all confident,Not at all confident,Not at all confident,107.75,126.3333333
20,Network,Low,150224,246,200,130,140,Somewhat confident,Somewhat confident,Somewhat confident,127.75,137.25
20,Network,Low,150321,246,,,,,,None,146,149.5
20,Network,Low,149076,246,200,180,180,Not too confident,Somewhat confident,Not too confident,154.75,166.5
20,Network,Low,150451,246,135,135,135,Not too confident,Somewhat confident,Somewhat confident,133.25,139.75
20,Network,Low,148597,246,151,147,151,Very confident,Very confident,Very confident,147.25,151.5
20,Network,Low,148982,246,100,157,137,Not too confident,Somewhat confident,Somewhat confident,161.25,137.5
20,Network,Low,148668,246,80,80,80,Not at all confident,Not at all confident,Not at all confident,150.25,149.5
20,Network,Low,149361,246,147,162,155,Not too confident,Somewhat confident,Not too confident,164.75,152.25
20,Network,Low,149071,246,139,129,141,Not too confident,Somewhat confident,Somewhat confident,125.25,146
20,Network,Low,150509,246,200,150,150,Not too confident,Not too confident,Not too confident,148.75,143
20,Network,Low,148684,246,200,200,200,Not too confident,Not too confident,Not too confident,129,153.5
20,Network,Low,149012,246,311,215,261,Not too confident,Somewhat confident,Not at all confident,105,164.25
20,Network,Low,150503,246,82,93,91,Somewhat confident,Somewhat confident,Somewhat confident,139.6666667,141.3333333
20,Network,Low,149911,246,112,112,115,Not too confident,Somewhat confident,Somewhat confident,115.5,119.75
20,Network,Low,148681,246,137,113,118,Not too confident,Not too confident,Somewhat confident,107,123.5
20,Network,Low,148829,246,,,,,,None,93.75,143.5
20,Network,Low,150408,246,180,180,180,Not too confident,Not at all confident,Not too confident,140.25,143.6666667
20,Network,Low,149261,246,,,,,,None,141.25,141
20,Network,Low,148888,246,95,100,100,Not too confident,Somewhat confident,Not too confident,194.25,146.75
20,Network,Low,148992,246,125,165,177,Somewhat confident,Very confident,Somewhat confident,183.3333333,176.6666667
20,Network,Low,148788,246,220,185,192,Not too confident,Somewhat confident,Not too confident,130.75,162.75
20,Network,Low,150607,246,105,200,180,Somewhat confident,Somewhat confident,Somewhat confident,217,183.3333333
