group,Net_type,Condition,Matched,Dist_Anchor_1,Dist_Anchor_2,Dist_Anchor_3,Change_in_Distance
0,Control,Low,0,45.0,57.0,45.0,0.0
0,Control,Low,1,122.5,60.0,60.5,-62.0
1,Control,Low,0,64.5,74.5,69.5,5.0
1,Control,Low,1,135.0,132.0,129.5,-5.5
2,Control,Low,0,32.0,47.0,57.0,25.0
2,Control,Low,1,21.5,26.0,19.0,-2.5
3,Control,Low,0,39.5,41.5,41.5,2.0
3,Control,Low,1,28.5,48.5,28.5,0.0
4,Control,Low,0,32.0,39.5,39.5,7.5
4,Control,Low,1,45.5,43.0,35.0,-10.5
5,Control,Low,0,32.0,37.0,39.0,7.0
5,Control,Low,1,33.0,33.0,29.0,-4.0
6,Control,Low,0,32.0,32.0,32.0,0.0
6,Control,Low,1,23.0,43.0,48.0,25.0
7,Control,Low,0,47.0,59.0,47.0,0.0
7,Control,Low,1,31.5,24.5,20.0,-11.5
8,Control,Low,0,32.0,42.0,37.0,5.0
8,Control,Low,1,65.5,75.5,75.5,10.0
9,Control,Low,0,74.5,69.0,69.0,-5.5
9,Control,Low,1,29.0,58.0,30.0,1.0
10,Control,High,0,69.5,76.0,69.0,-0.5
10,Control,High,1,203.0,203.0,203.0,0.0
11,Control,High,0,67.0,63.0,55.0,-12.0
11,Control,High,1,198.0,175.0,183.0,-15.0
12,Control,High,0,63.0,69.0,66.0,3.0
12,Control,High,1,175.0,183.0,178.0,3.0
13,Control,High,0,64.0,66.0,77.0,13.0
13,Control,High,1,182.0,198.5,191.0,9.0
14,Control,High,0,88.0,115.5,115.5,27.5
14,Control,High,1,173.0,178.0,162.0,-11.0
15,Control,High,0,53.0,53.0,58.0,5.0
15,Control,High,1,203.0,206.0,206.0,3.0
16,Control,High,0,83.0,73.0,65.0,-18.0
16,Control,High,1,163.0,178.0,178.0,15.0
17,Control,High,0,78.0,85.5,85.5,7.5
17,Control,High,1,183.0,177.0,177.0,-6.0
18,Control,High,0,83.0,88.0,83.0,0.0
18,Control,High,1,190.5,183.5,192.5,2.0
19,Control,High,0,78.0,66.0,66.0,-12.0
19,Control,High,1,209.0,198.0,200.0,-9.0
20,Network,Low,0,29.5,32.0,32.0,2.5
20,Network,Low,1,23.0,38.0,22.0,-1.0
21,Network,Low,0,14.0,32.0,30.0,16.0
21,Network,Low,1,30.5,22.5,26.0,-4.5
22,Network,Low,0,49.0,50.0,52.0,3.0
22,Network,Low,1,29.0,23.0,18.0,-11.0
23,Network,Low,0,32.0,32.0,37.0,5.0
23,Network,Low,1,33.5,20.0,21.5,-12.0
24,Network,Low,0,47.0,57.0,47.0,0.0
24,Network,Low,1,132.0,62.0,97.0,-35.0
25,Network,Low,0,32.0,32.0,33.5,1.5
25,Network,Low,1,29.0,16.0,15.0,-14.0
26,Network,Low,0,37.0,25.0,42.0,5.0
26,Network,Low,1,29.0,37.0,18.0,-11.0
27,Network,Low,0,41.0,44.5,44.0,3.0
27,Network,Low,1,28.5,52.0,64.5,36.0
28,Network,Low,0,19.0,27.0,27.0,8.0
28,Network,Low,1,26.0,14.5,17.5,-8.5
29,Network,Low,0,23.0,23.0,23.0,0.0
29,Network,Low,1,32.0,8.0,13.0,-19.0
30,Network,High,0,81.5,99.0,113.0,31.5
30,Network,High,1,168.0,153.0,153.0,-15.0
31,Network,High,0,74.0,101.5,123.0,49.0
31,Network,High,1,178.0,153.0,161.0,-17.0
32,Network,High,0,65.0,74.5,74.0,9.0
32,Network,High,1,160.0,153.0,142.5,-17.5
33,Network,High,0,75.0,71.0,88.0,13.0
33,Network,High,1,174.0,153.0,151.0,-23.0
34,Network,High,0,93.0,108.0,123.5,30.5
34,Network,High,1,175.0,153.0,163.0,-12.0
35,Network,High,0,78.0,123.0,128.0,50.0
35,Network,High,1,178.0,159.0,162.0,-16.0
36,Network,High,0,68.0,113.0,133.0,65.0
36,Network,High,1,188.0,173.0,167.0,-21.0
37,Network,High,0,53.0,87.0,103.0,50.0
37,Network,High,1,197.0,153.0,149.0,-48.0
38,Network,High,0,55.5,103.0,107.5,52.0
38,Network,High,1,163.0,153.0,151.0,-12.0
39,Network,High,0,93.5,98.0,103.0,9.5
39,Network,High,1,174.0,153.0,153.0,-21.0
