group,Net_type,Condition,Initial_Error,Second_Error,Final_Error,Change in Error,Revision Coefficient
0,Control,Low,91.0,83.0,96.0,5.0,-0.31
1,Control,Low,68.5,67.5,68.5,0.0,0.51
2,Control,Low,106.0,109.0,106.0,0.0,0.31
3,Control,Low,111.0,116.0,108.5,-2.5,-0.32
4,Control,Low,99.5,102.0,101.5,2.0,0.74
5,Control,Low,118.5,113.5,118.5,0.0,-0.01
6,Control,Low,104.0,106.0,106.0,2.0,0.72
7,Control,Low,128.0,136.0,136.0,8.0,0.21
8,Control,Low,110.0,96.0,111.0,1.0,0.52
9,Control,Low,96.0,93.0,104.0,8.0,0.31
10,Control,High,80.0,89.0,96.0,16.0,0.53
11,Control,High,77.0,67.0,72.5,-4.5,0.17
12,Control,High,63.0,63.0,69.0,6.0,-0.1
13,Control,High,74.0,89.0,69.0,-5.0,0.48
14,Control,High,76.0,71.0,65.0,-11.0,1.0
15,Control,High,84.5,93.5,72.5,-12.0,0.62
16,Control,High,55.0,71.5,65.5,10.5,0.42
17,Control,High,69.0,66.0,70.0,1.0,0.12
18,Control,High,96.0,86.0,96.0,0.0,-0.04
19,Control,High,101.5,90.5,87.0,-14.5,0.95
20,Network,Low,111.0,99.0,102.0,-9.0,0.34
21,Network,Low,116.0,102.0,102.0,-14.0,0.3
22,Network,Low,102.0,91.5,86.0,-16.0,-0.11
23,Network,Low,111.0,101.0,98.0,-13.0,-0.05
24,Network,Low,84.5,80.5,84.0,-0.5,-0.12
25,Network,Low,96.0,96.0,96.0,0.0,-0.21
26,Network,Low,110.5,98.5,98.5,-12.0,-0.03
27,Network,Low,96.0,87.5,76.0,-20.0,0.69
28,Network,Low,118.0,112.5,108.5,-9.5,0.18
29,Network,Low,112.5,110.5,108.5,-4.0,-0.55
30,Network,High,61.0,44.0,46.0,-15.0,-0.15
31,Network,High,54.0,40.0,41.0,-13.0,0.04
32,Network,High,63.0,46.0,46.0,-17.0,0.31
33,Network,High,133.0,70.5,64.0,-69.0,0.3
34,Network,High,69.0,41.0,39.0,-30.0,0.25
35,Network,High,62.0,54.0,48.0,-14.0,1.0
36,Network,High,74.0,60.0,46.0,-28.0,0.07
37,Network,High,97.0,55.0,54.0,-43.0,0.45
38,Network,High,54.0,44.0,43.0,-11.0,-0.19
39,Network,High,54.0,46.0,33.0,-21.0,0.22
